14:09:03.681801 config: drop-rate=0.00, max-delay=0s, seed=1510340943680295600
19:48:17.355019 [queue=0] packet #8, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:18.352599 [queue=0] packet #4, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:18.355602 [queue=0] packet #9, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:18.355602 [queue=0] packet #9, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:19.354052 [queue=0] packet #5, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:19.356055 [queue=0] packet #10, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:19.357065 [queue=0] packet #10, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:20.350662 [queue=0] packet #1, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:20.353677 [queue=0] packet #6, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:20.357680 [queue=0] packet #11, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:20.357680 [queue=0] packet #11, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:21.351348 [queue=0] packet #2, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:21.354351 [queue=0] packet #7, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:21.359369 [queue=0] packet #12, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is dropped
19:48:22.353165 [queue=0] packet #3, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:22.360185 [queue=0] packet #13, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:22.361174 [queue=0] packet #13, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:22.361174 [queue=0] packet #12, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:22.367179 [queue=0] packet #12, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:22.368179 [queue=0] packet #12, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:23.352896 [queue=0] packet #4, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is dropped
19:48:23.361915 [queue=0] packet #14, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:23.361915 [queue=0] packet #14, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:24.354304 [queue=0] packet #5, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is dropped
